Sno,TECHNOLOGY,ORIGINAL/SYNONYM,QUESTION,SOLUTION
128,Azure Data Factory,Synonym,A pipeline for an Azure Functions app fails due to a problem with private endpoint connectivity.,Same as the above
129,Azure Data Factory,Synonym,A private endpoint connectivity fault occurs in an Azure Functions app pipeline.,Same as the above
130,Azure Data Factory,Synonym,"With regard to private endpoint connectivity, an Azure Functions app pipeline fails.",Same as the above
131,Azure Data Factory,Synonym,There is a private endpoint connectivity fault in an Azure Functions app pipeline.,Same as the above
132,Azure Data Factory,Synonym,An Azure Functions app pipeline has a private endpoint connectivity issue.,Same as the above
133,Azure Data Factory,Original,A pipeline run is canceled but the monitor still shows progress status,Refresh the browser and apply the correct monitoring filters.
134,Azure Data Factory,Synonym,The monitor continuously displays progress status even when a pipeline run is cancelled.,Same as the above
135,Azure Data Factory,Synonym,"Despite the monitor still displaying progress status, a pipeline run is cancelled.",Same as the above
136,Azure Data Factory,Synonym,"Even though a pipeline run is cancelled, the monitor still displays progress status.",Same as the above
137,Azure Data Factory,Synonym,The monitor still shows progress status even if a pipeline run has been cancelled.,Same as the above
138,Azure Data Factory,Synonym,"Even if a pipeline run has been cancelled, the monitor still displays the current state of progress.",Same as the above
139,Azure Data Factory,Original,"You see a ""DelimitedTextMoreColumnsThanDefined"" error when copying a pipeline","Select the Binary Copy option while creating the Copy activity. This way, for bulk copies or migrating your data from one data lake to another, Data Factory won't open the files to read the schema. Instead, Data Factory will treat each file as binary and copy it to the other location."
140,Azure Data Factory,Synonym,"When duplicating a pipeline, you get a ""DelimitedTextMoreColumnsThanDefined"" problem.",Same as the above
141,Azure Data Factory,Synonym,"A ""DelimitedTextMoreColumnsThanDefined"" problem appears when you copy a pipeline.",Same as the above
142,Azure Data Factory,Synonym,"When copying a pipeline, you get the error ""DelimitedTextMoreColumnsThanDefined""",Same as the above
143,Azure Data Factory,Synonym,"When you copy a pipeline, you get a ""DelimitedTextMoreColumnsThanDefined"" problem.",Same as the above
144,Azure Data Factory,Synonym,"You encounter a ""DelimitedTextMoreColumnsThanDefined"" issue when duplicating a pipeline.",Same as the above
145,Azure Data Factory,Original,A pipeline run fails when you reach the capacity limit of the integration runtime for data flow,"Run your pipelines at different trigger times.
Create a new integration runtime, and split your pipelines across multiple integration runtimes."
146,Azure Data Factory,Synonym,"When the integration runtime for data flow reaches its capacity limit, a pipeline run fails.",Same as the above
147,Azure Data Factory,Synonym,"When you exceed the integration runtime for data flow's capacity, a pipeline run fails.",Same as the above
148,Azure Data Factory,Synonym,"Once the integration runtime for data flow reaches its capacity limit, a pipeline run fails.",Same as the above
149,Azure Data Factory,Synonym,A pipeline run fails when the capacity of the integration runtime for data flow is exceeded.,Same as the above
150,Azure Data Factory,Synonym,"When the data flow capacity of the integration runtime is exceeded, a pipeline run fails.",Same as the above
151,Azure Data Factory,Original,A pipeline run error while invoking REST api in a Web activity,"Before using the Azure Data Factory’s REST API in a Web activity’s Settings tab, security must be configured. Azure Data Factory pipelines may use the Web activity to call ADF REST API methods if and only if the Azure Data Factory managed identity is assigned the Contributor role. Begin by opening the Azure portal and clicking the All resources link on the left menu. Select Azure Data Factory to add ADF managed identity with Contributor role by clicking the Add button in the Add a role assignment box."
152,Azure Data Factory,Synonym,A pipeline run problem occurred when a Web activity called the REST api.,Same as the above
153,Azure Data Factory,Synonym,A Web activity that invokes the REST API encounters a pipeline run error,Same as the above
154,Azure Data Factory,Synonym,When a Web activity calls the REST API and encounters a pipeline run error,Same as the above
155,Azure Data Factory,Synonym,Any time a Web activity uses the REST API and runs into a pipeline execution error,Same as the above
156,Azure Data Factory,Synonym,In the event that a Web activity accesses the REST API and runs into a pipeline run error,Same as the above
157,Azure Data Factory,Original,How to check and branch on activity-level success and failure in pipelines,"Implement activity-level checks by following How to handle pipeline failures and errors.
Use Azure Logic Apps to monitor pipelines in regular intervals following Query By Factory.
Visually Monitor Pipeline"
158,Azure Data Factory,Synonym,How to branch and check pipelines for activity-level success and failure,Same as the above
159,Azure Data Factory,Synonym,How to branch on pipelines that have successful and unsuccessful activities at the activity level,Same as the above
160,Azure Data Factory,Synonym,How to split pipelines based on the success or failure of individual activities,Same as the above
161,Azure Data Factory,Synonym,How to make a pipeline branch based on the activity level success and failure of activities,Same as the above
162,Azure Data Factory,Synonym,How to create a pipeline branch based on the success or failure of activities at the activity level,Same as the above
163,Azure Data Factory,Original,How to monitor pipeline failures in regular intervals,"You can set up an Azure logic app to query all of the failed pipelines every 5 minutes, as described in Query By Factory. Then, you can report incidents to your ticketing system.
You can rerun pipelines and activities as described here.
You can rerun activities if you had canceled activity or had a failure as per Rerun from activity failures.
Visually Monitor Pipeline"
164,Azure Data Factory,Synonym,How to regularly check for pipeline faults,Same as the above
165,Azure Data Factory,Synonym,How to systematically keep track of pipeline breakdowns,Same as the above
166,Azure Data Factory,Synonym,How to routinely monitor pipeline malfunctions,Same as the above
167,Azure Data Factory,Synonym,How to regularly check for pipeline issues,Same as the above
168,Azure Data Factory,Synonym,How to routinely check for pipeline concerns,Same as the above
169,Azure Data Factory,Original,Degree of parallelism increase does not result in higher throughput,"You should not use SetVariable activity inside For Each that runs in parallel.
Taking in consideration the way the queues are constructed, customer can improve the foreach performance by setting multiples of foreach where each foreach will have items with similar processing time.
This will ensure that long runs are processed in parallel rather sequentially."
170,Azure Data Factory,Synonym,Increasing the degree of parallelism has little impact on throughput.,Same as the above
171,Azure Data Factory,Synonym,Increased parallelism does not translate into increased throughput.,Same as the above
172,Azure Data Factory,Synonym,Throughput does not increase as the degree of parallelism increases.,Same as the above
173,Azure Data Factory,Synonym,An increase in the degree of parallelism has no impact on throughput.,Same as the above
174,Azure Data Factory,Synonym,"As the level of parallelism rises, throughput does not increase.",Same as the above
175,Azure Data Factory,Original,There is an issue : Pipeline status is queued or stuck for a long time,"Concurrency Limit: If your pipeline has a concurrency policy, verify that there are no old pipeline runs in progress.

Monitoring limits: Go to the ADF authoring canvas, select your pipeline, and determine if it has a concurrency property assigned to it. If it does, go to the Monitoring view, and make sure there's nothing in the past 45 days that's in progress. If there is something in progress, you can cancel it and the new pipeline run should start."
176,Azure Data Factory,Synonym,There is a problem: Pipeline status is backed up or has been for a while.,Same as the above
177,Azure Data Factory,Synonym,There is a issue: The pipeline status has been backed up or is persistently stuck.,Same as the above
178,Azure Data Factory,Synonym,There is a error: Pipeline status is queued or stuck for a while.,Same as the above
179,Azure Data Factory,Synonym,"Pipeline status is in a backlog or has been stuck for a time, which is an issue.",Same as the above
180,Azure Data Factory,Synonym,Pipeline status is delayed in queue or is currently unavailable.,Same as the above
